institution,name,email,phone,other_info
Panevėžio rajono savivaldybė Naujamiesčio seniūnija,Antanas Katinas,naujamiescio@panrs.lt,,
Panevėžio rajono savivaldybė Panevėžio seniūnija,Julius Grabauskas,pan_seniunija@panrs.lt,,
Panevėžio rajono savivaldybė Paįstrio seniūnija,Virginijus Šležas,paistrys@panrs.lt,,
Panevėžio rajono savivaldybė Raguvos seniūnija,Antanas Mitkus,raguvos@panrs.lt,,
Panevėžio rajono savivaldybė Ramygalos seniūnija,Valdas Chirv,ramygalos_seniunija@panrs.lt,,
Panevėžio rajono savivaldybė Smilgių seniūnija,Zita Dabužinskienė,smilgiu@panrs.lt,,
Panevėžio rajono savivaldybė Upytės seniūnija,Albinas Skeiverys,upytes_seniunija@panrs.lt,,
Panevėžio rajono savivaldybė Vadoklių seniūnija,Antanas Pocius,vadokliu_seniunija@panrs.lt,,
Panevėžio rajono savivaldybė Velžio seniūnija,Alfonsas Bakšys,velzyss@panrs. lt,,
Pasvalio rajono savivaldybė Joniškėlio apylinkių seniūnija,Gintautas Petras Povilionis,joniskelioasen@pasvalys.lt,,
Pasvalio rajono savivaldybė Joniškėlio miesto seniūnija,Steponas Rimkus,joniskeliomsen@pasvalys.lt,,
Pasvalio rajono savivaldybė Krinčino seniūnija,Remigijus Janušis,krincinosen@pasvalys.lt,,
Pasvalio rajono savivaldybė Namišių seniūnija,Kęstutis Valantonis,namisiusen@pasvalys.lt,,
Pasvalio rajono savivaldybė Pasvalio apylinkių seniūnija,Stanislovas Triaba,pasvalioasen@pasvalys.lt,,
Pasvalio rajono savivaldybė Pasvalio miesto seniūnija,Petras Drevinskas,pasvaliomsen@pasvalys.lt,,
Pasvalio rajono savivaldybė Pumpėnų seniūnija,Regina Rapkevičienė,pumpenusen@pasvalys.lt,,
Pasvalio rajono savivaldybė Pušaloto seniūnija,Paulyna Stravinskienė,pusalotosen@pasvalys.lt,,
Pasvalio rajono savivaldybė Saločių seniūnija,Algimantas Mašalas,salociusen@pasvalys.lt,,
Pasvalio rajono savivaldybė Vaškų seniūnija,Kęstutis Jasėnas,vaskusen@pasvalys.lt,,
Plungės rajono savivaldybė Alsėdžių seniūnija,Danutė Repšienė,alsedziai@plunge.lt,,
Plungės rajono savivaldybė Babrungo seniūnija,Rūta Jonušienė,babrungas@plunge.lt,,
Plungės rajono savivaldybė Kulių seniūnija,Daivutė Petrauskienė,kuliai@plunge.lt,,
Plungės rajono savivaldybė Nausodžio seniūnija,Violeta Petraitienė,nausodis@plunge.lt,,
Plungės rajono savivaldybė Paukštakių seniūnija,Aurimas Vasiliauskas,paukstakiai@plunge.lt,,
Plungės rajono savivaldybė Platelių seniūnija,Danutė Rapolavičienė,plateliai@plunge.lt,,
Plungės rajono savivaldybė Plungės miesto seniūnija,Gintaras Domarkas,seniunija@plunge.lt,,
Plungės rajono savivaldybė Stalgėnų seniūnija,Arūnas Jurkus,stalgenai@plunge.lt,,
Plungės rajono savivaldybė Šateikių seniūnija,Gražvydas Paulius,sateikiai@plunge.lt,,
Plungės rajono savivaldybė Žemaičių Kalvarijos seniūnija,Liudas Gricius,zemkalvarija@plunge.lt,,
Plungės rajono savivaldybė Žlibinų seniūnija,Sigutė Žeimaitienė,zlibinai@plunge.lt,,
Prienų rajono savivaldybė Ašmintos seniūnija,Vida Vitkauskienė,asmintos_seniunija@prienai.lt,,
Prienų rajono savivaldybė Balbieriškio seniūnija,Algis Marcinkevičius,balbieriskio_seniunija@prienai.lt,,
Prienų rajono savivaldybė Išlaužo seniūnija,Filomena Stanislava Ruseckienė,islauzo_seniunija@prienai.lt,,
Prienų rajono savivaldybė Jiezno seniūnija,Algis Bartusevičius,jiezno_seniunija@prienai.lt,,
Prienų rajono savivaldybė Naujosios Ūtos seniūnija,Antosė Brūzgienė,nutos_seniunija@prienai.lt,,
Prienų rajono savivaldybė Pakuonio seniūnija,Audrius Narvydas,pakuonio_seniunija@prienai.lt,,
Prienų rajono savivaldybė Prienų seniūnija,Algimantas Matulevičius,prienuseniunas@prienai.lt,,
Prienų rajono savivaldybė Stakliškių seniūnija,Gintautas Kaminskas,stakliskiu_seniunija@prienai.lt,,
Prienų rajono savivaldybė Veiverių seniūnija,Vaclovas Ramanauskas,veiveriu_seniunija@prienai.lt,,
Prienų rajono savivaldybė Šilavoto seniūnija,Aušra Kazlauskienė,silavoto_seniunija@prienai.lt,,
Radviliškio rajono savivaldybė Aukštelkų seniūnija,Alma Kubilinskienė,aukstelkai@radviliskis.lt,,
Radviliškio rajono savivaldybė Baisogalos seniūnija,Romas Kalvaitis,baisogala@radviliskis.lt,,
Radviliškio rajono savivaldybė Grinkiškio seniūnija,Vincas Petrauskas,grinkiskis@radviliskis.lt,,
Radviliškio rajono savivaldybė Pakalniškių seniūnija,Rimantas Ropolas,pakalniskiai@radviliskis.lt,,
Radviliškio rajono savivaldybė Radviliškio miesto seniūnija,Leonas Grigaliūnas,radv.seniunija@radviliskis.lt,,
Radviliškio rajono savivaldybė Radviliškio seniūnija,Vidmantas Tamošiūnas,vidmantas.t@radviliskis.lt,,
Radviliškio rajono savivaldybė Sidabravo seniūnija,Vidmantas Blužas,sidabravas@radviliskis.lt,,
Radviliškio rajono savivaldybė Skėmių seniūnija,Romualda Rimkuvienė,skemiai@radviliskis.lt,,
Radviliškio rajono savivaldybė Tyrulių seniūnija,Rimantas Liukumas,tyruliai@radviliskis.lt,,
Radviliškio rajono savivaldybė Šaukoto seniūnija,Albinas Augustis,saukotas@radviliskis.lt,,
Radviliškio rajono savivaldybė Šeduvos miesto seniūnija,Kostas Dočkus,seduva@radviliskis.lt,,
Radviliškio rajono savivaldybė Šiaulėnų seniūnija,Vitas Pranas Tutkus,siaulenai@radviliskis.lt,,
Raseinių rajono savivaldybė Ariogalos miesto seniūnija,Regina Meškauskienė,ariogala@raseiniai.lt,,
Raseinių rajono savivaldybė Ariogalos seniūnija,Juozas Labanauskas,ariogalos.sen@raseiniai.lt,,
Raseinių rajono savivaldybė Betygalos seniūnija,Stanislovas Totilas,betygala@raseiniai.lt,,
Raseinių rajono savivaldybė Girkalnio seniūnija,Justina Šaulienė,girkalnis@raseiniai.lt,,
Raseinių rajono savivaldybė Kalnujų seniūnija,Regina Čepurnovienė,kalnujai@raseiniai.lt,,
Raseinių rajono savivaldybė Nemakščių seniūnija,Remigijus Laugalis,nemaksciai@raseiniai.lt,,
Raseinių rajono savivaldybė Pagojukų seniūnija,Albinas Renusas,pagojukai@raseiniai.lt,,
Raseinių rajono savivaldybė Paliepių seniūnija,Virginija Kiaušienė,paliepiai@raseiniai.lt,,
Raseinių rajono savivaldybė Raseinių miesto seniūnija,Jonas Elzbergas,raseiniai@raseiniai.lt,,
Raseinių rajono savivaldybė Raseinių seniūnija,Rolandas Klusas,raseiniu.sen@raseiniai.lt,,
Raseinių rajono savivaldybė Viduklės seniūnija,Gytis Šulinskas,vidukle@raseiniai.lt,,
Raseinių rajono savivaldybė Šiluvos seniūnija,Vygaudas Šeimys,siluva@raseiniai.lt,,
Rietavo savivaldybė Daugėdų seniūnija,Asta Globienė,daugedai@rietavas.lt,,
Rietavo savivaldybė Medingėnų seniūnija,Salomėja Čiesnienė,medingenai@rietavas.lt,,
Rietavo savivaldybė Rietavo miesto seniūnija,Jurgis Baltrimas,m.seniunija@rietavas.lt,,
Rietavo savivaldybė Rietavo seniūnija,Romanas Jurčius,k.seniunija@rietavas.lt,,
Rietavo savivaldybė Tverų seniūnija,Antanas Zalepūgas,seniunas@tverai.lt,,
Rokiškio rajono savivaldybė Juodupės seniūnija,Liucija Bliūdžiuvienė,seniunija@juodupe.lt,,
Rokiškio rajono savivaldybė Jūžintų seniūnija,Audronė Baltuškaitė,juzintaisen@erdves.lt,,
Rokiškio rajono savivaldybė Kamajų seniūnija,Vytautas Vilys,kamajai@post.rokiskis.lt,,
Rokiškio rajono savivaldybė Kazliškio seniūnija,Vytautas Spalgenas,kazliskrok@erdves.lt,,
Rokiškio rajono savivaldybė Kriaunų seniūnija,Arvydas Rudinskas,seniunas.kriaunos@erdves.lt,,
Rokiškio rajono savivaldybė Obelių seniūnija,Eugenijus Narkūnas,e.narkunas@post.rokiskis.lt,,
Rokiškio rajono savivaldybė Pandėlio seniūnija,Romualdas Varanius,pandelys@post.rokiskis.lt,,
Rokiškio rajono savivaldybė Panemunėlio seniūnija,Anicetas Bytautas,seniunas@panemunelis.lt,,
Rokiškio rajono savivaldybė Rokiškio kaimiškoji seniūnija,Dalia Janulienė,d.januliene@post.rokiskis.lt,,
Rokiškio rajono savivaldybė Rokiškio miesto seniūnija,Viktoras Gruodys,v.gruodys@post.rokiskis.lt,,
Skuodo rajono savivaldybė Aleksandrijos seniūnija,Donatas Valančauskas,aleksandrija@skuodas.lt,,
Skuodo rajono savivaldybė Barstyčių seniūnija,Gintautas Čičirka,barstyciai@skuodas.lt,,
Skuodo rajono savivaldybė Lenkimų seniūnija,Rimantas Mikšta,lenkimai@skuodas.lt,,
Skuodo rajono savivaldybė Mosėdžio seniūnija,Augenijus Zabitis,eugenijus@sistema.lt,,
Skuodo rajono savivaldybė Notėnų seniūnija,Arvydas Mačiukas,notenai@skuodas.lt,,
Skuodo rajono savivaldybė Skuodo miesto seniūnija,Algimantas Šideikis,miestas@skuodas.lt,,
Skuodo rajono savivaldybė Skuodo seniūnija,Viliutė Jautakienė,seniunija@skuodas.lt,,
Skuodo rajono savivaldybė Ylakių seniūnija,Vytautas Gudauskas,ylakiai@skuodas.lt,,
Skuodo rajono savivaldybė Šačių seniūnija,Antanas Raudonis,sates@skuodas.lt,,
Tauragės rajono savivaldybė Batakių seniūnija,Jonas Juozapaitis,batakiu.seniunija@is.lt,,
Tauragės rajono savivaldybė Gaurės seniūnija,Vidmantas Skirius,gaure@taurage.lt,,
Tauragės rajono savivaldybė Lauksargių seniūnija,Jonas Gedminas,lauksargiai@taurage.lt,,
Tauragės rajono savivaldybė Mažonų seniūnija,Jonas Samoška,mazonai@taurage.lt,,
Tauragės rajono savivaldybė Skaudvilės seniūnija,Virginijus Būdvytis,skaudvile@taurage.lt,,
Tauragės rajono savivaldybė Tauragės miesto seniūnija,Virginijus Žilius,seniunas@taurage.lt,,
Tauragės rajono savivaldybė Tauragės seniūnija,Danguolė Jatautienė,tauragesks@taurage.lt,,
Tauragės rajono savivaldybė Žygaičių seniūnija,Vytautas Juška,zygaiciai@taurage.lt,,
Telšių rajono savivaldybė Degaičių seniūnija,Antanas Kontrimas,degaiciu.sen@telsiai.lt,,
Telšių rajono savivaldybė Gadūnavo seniūnija,Stasė Benikienė,gadunavo.sen@telsiai.lt,,
Telšių rajono savivaldybė Luokės seniūnija,Genovaitė Linkuvienė,luokes.sen@telsiai.lt,,
Telšių rajono savivaldybė Nevarėnų seniūnija,Vilma Šakienė,nevarenu.sen@telsiai.lt,,
Telšių rajono savivaldybė Ryškėnų seniūnija,Benediktas Šniaukas,ryskenu.sen@telsiai.lt,,
Telšių rajono savivaldybė Telšių miesto seniūnija,Darius Klemanskas,-,,
Telšių rajono savivaldybė Tryškių seniūnija,Jonas Buivydas,tryskiu.sen@telsiai.lt,,
Telšių rajono savivaldybė Upynos seniūnija,Donatas Želvys,upynos.sen@telsiai.lt,,
Telšių rajono savivaldybė Varnių seniūnija,Rolandas Bružas,varniu.sen@telsiai.lt,,
Telšių rajono savivaldybė Viešvėnų seniūnija,Petras Varnelis,viesvenu.sen@telsiai.lt,,
Telšių rajono savivaldybė Žarėnų seniūnija,Pranas Lukošius,zarenu.sen@telsiai.lt,,
Trakų rajono savivaldybė Aukštadvario seniūnija,Jadvyga Dzenčevičienė,aukstadvaris@trakai.lt,,
Trakų rajono savivaldybė Grendavės seniūnija,Vida Jankauskienė,grendave@trakai.lt,,
Trakų rajono savivaldybė Lentvario seniūnija,Jonas Kietavičius,lentvaris@trakai.lt,,
Trakų rajono savivaldybė Onuškio seniūnija,Juozas Okunevičius,-,,
Trakų rajono savivaldybė Paluknio seniūnija,Marija Golubovska,paluknys@trakai.lt,,
Trakų rajono savivaldybė Rūdiškių seniūnija,Tadeušas Pavlovskis,rudiskes@trakai.lt,,
Trakų rajono savivaldybė Senųjų Trakų seniūnija,Ana Ingelevič,senieji.trakai@trakai.lt,,
Trakų rajono savivaldybė Trakų seniūnija,Kęstutis Vilkauskas,trakai@trakai.lt,,
Ukmergės rajono savivaldybė Deltuvos seniūnija,Salvijus Stimburys,deltuva@ukmerge.lt,,
Ukmergės rajono savivaldybė Lyduokių seniūnija,Vytautas Toliūnas,lyduokiai@ukmerge.lt,,
Ukmergės rajono savivaldybė Pabaisko seniūnija,Gediminas Lapukas,pabaiskas@ukmerge.lt,,
Ukmergės rajono savivaldybė Pivonijos seniūnija,Alvydas Gratkauskas,pivonija@ukmerge.lt,,
Ukmergės rajono savivaldybė Siesikų seniūnija,Algirdas Kaušas,siesikai@ukmerge.lt,,
Ukmergės rajono savivaldybė Taujėnų seniūnija,Elvyra Tulušienė,taujenai@ukmerge.lt,,
Ukmergės rajono savivaldybė Ukmergės miesto seniūnija,Stasys Jackūnas,ukmerges_sen@ukmerge.lt,,
Ukmergės rajono savivaldybė Veprių seniūnija,Dalė Urbonienė,vepriai@ukmerge.lt,,
Ukmergės rajono savivaldybė Vidiškių seniūnija,Virgilijus Štaras,vidiskiai@ukmerge.lt,,
Ukmergės rajono savivaldybė Šešuolių seniūnija,Jonas Dikčius,sesuoliai@ukmerge.lt,,
Ukmergės rajono savivaldybė Želvos seniūnija,Kęstutis Mikalajūnas,zelva@ukmerge.lt,,
Ukmergės rajono savivaldybė Žemaitkiemio seniūnija,Rita Mikutienė,zemaitkiemis@ukmerge.lt,,
Utenos rajono savivaldybė Daugailių seniūnija,Giedrė Eimutienė,daugailiai@utena.lt,,
Utenos rajono savivaldybė Kuktiškių seniūnija,Gražina Bivainienė,kuktiskes@utena.lt,,
Utenos rajono savivaldybė Leliūnų seniūnija,Lina Petronienė,leliunai@utena.lt,,
Utenos rajono savivaldybė Saldutiškio seniūnija,Bronius Šliogeris,saldutiskis@utena.lt,,
Utenos rajono savivaldybė Sudeikių seniūnija,Virgilijus Gaižauskas,v.gaizauskas@utena.lt,,
Utenos rajono savivaldybė Tauragnų seniūnija,Alvydas Danauskas,a.danauskas@utena.lt,,
Utenos rajono savivaldybė Utenos miesto seniūnija,Valentinas Vaitonis,v.vaitonis@utena.lt,,
Utenos rajono savivaldybė Utenos seniūnija,Algirdas Žukas,a.zukas@utena.lt,,
Utenos rajono savivaldybė Užpalių seniūnija,Vytas Jurka,uzpaliai@utena.lt,,
Utenos rajono savivaldybė Vyžuonų seniūnija,Audrius Remeikis,vyzuonos@utena.lt,,
Varėnos rajono savivaldybė Jakėnų seniūnija,Dainius Junevičius,jakenai@varena.lt,,
Varėnos rajono savivaldybė Kaniavos seniūnija,Janina Pavilionienė,kaniava@varena.lt,,
Varėnos rajono savivaldybė Marcinkonių seniūnija,Vilius Petraška,marcinkonys@varena.lt,,
Varėnos rajono savivaldybė Matuizų seniūnija,Antanas Soraka,matuizos@varena.lt,,
Varėnos rajono savivaldybė Merkinės seniūnija,Gintautas Tebėra,merkine@varena.lt,,
Varėnos rajono savivaldybė Valkininkų seniūnija,Jonas Urbaitis,valkininkai@varena.lt,,
Varėnos rajono savivaldybė Varėnos seniūnija,Juozas Balevičius,seniunija@varena.lt,,
Varėnos rajono savivaldybė Vydenių seniūnija,Jadvyga Čeplikienė,vydeniai@varena.lt,,
Vilkaviškio rajono savivaldybė Bartninkų seniūnija,Petras Čirvinskas,bartninkusen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Gižų seniūnija,Romas Kučiauskas,gizusen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Gražiškių seniūnija,Ramutė Didvalienė,graziskiusen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Keturvalakių seniūnija,Gintautas Urbšys,keturvalakiusen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Klausučių seniūnija,Gema Skystimienė,klausuciusen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Kybartų seniūnija,Audrius Balbierius,kybartusen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Pajevonio seniūnija,Gediminas Bisikirskas,pajevoniosen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Pilviškių seniūnija,Vytautas Judickas,pilviskiusen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Vilkaviškio miesto seniūnija,Algis Kiseliūnas,vilkaviskiosen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Virbalio seniūnija,Zitas Lasevičius,virbaliosen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Vištyčio seniūnija,Bronislava Polita,vistyciosen@vilkaviskis.lt,,
Vilkaviškio rajono savivaldybė Šeimenos seniūnija,Gintas Bakūnas,seimenossen@vilkaviskis.lt,,
Vilniaus miesto savivaldybė Antakalnio seniūnija,Algimantas Vaitkus,algimantas.vaitkus@vilnius.lt,,
Vilniaus miesto savivaldybė Fabijoniškių seniūnija,Jonas Novikevičius,jonas.novikevicius@vilnius.lt,,
Vilniaus miesto savivaldybė Grigiškių seniūnija,Leonard Klimovič,Grigiskiu.s@vilnius.lt,,
Vilniaus miesto savivaldybė Justiniškių seniūnija,Taurintas Rudys,Taurintas.Rudys@vilnius.lt,,
Vilniaus miesto savivaldybė Karoliniškių seniūnija,Violeta Gedminaitė,Violeta.Gedminaite@vilnius.lt,,
Vilniaus miesto savivaldybė Lazdynų seniūnija,Algis Strelčiūnas,Algis.Strelciunas@Vilnius.lt,,
Vilniaus miesto savivaldybė Naujamiesčio seniūnija,Jūratė Paulionienė,Jurate.Paulioniene@vilnius.lt,,
Vilniaus miesto savivaldybė Naujininkų seniūnija,Benedikt Citovič,naujininku.seniunija@vilnius.l,,
Vilniaus miesto savivaldybė Naujosios Vilnios seniūnija,Jurijus Gridiuško,jurijus.gridiusko@vilnius.lt,,
Vilniaus miesto savivaldybė Panerių seniūnija,Audrius Miceika,audrius.miceika@vilnius.lt,,
Vilniaus miesto savivaldybė Pašilaičių seniūnija,Marija Jėčiuvienė,marija.jeciuviene@vilnius.lt,,
Vilniaus miesto savivaldybė Pilaitės seniūnija,Albinas Šniras,albinas.sniras@vilnius.lt,,
Vilniaus miesto savivaldybė Rasų seniūnija,Igorius Žuravliovas,igorius.zuravliovas@vilnius.lt,,
Vilniaus miesto savivaldybė Senamiesčio seniūnija,Romasis Petrauskas,romasis.petrauskas@vilnius.lt,,
Vilniaus miesto savivaldybė Verkių seniūnija,Vaclav Gulbinovič,vaclav.gulbinovic@vilnius.lt,,
Vilniaus miesto savivaldybė Vilkpėdės seniūnija,Mindaugas Kuncaitis,mindaugas.kuncaitis@vilnius.lt,,
Vilniaus miesto savivaldybė Viršuliškių seniūnija,Vilius Pusčius,vilius.puscius@vilnius.lt,,
Vilniaus miesto savivaldybė Šeškinės seniūnija,Liudvikas Lajauskas,Liudvikas.Lajauskas@vilnius.lt,,
Vilniaus miesto savivaldybė Šnipiškių seniūnija,Jonas Šerėnas,jonas.serenas@vilnius.lt,,
Vilniaus miesto savivaldybė Žirmūnų seniūnija,Ona Suncovienė,ona.suncoviene@vilnius.lt,,
Vilniaus miesto savivaldybė Žvėryno seniūnija,Tautvidas Klimavičius,tautvidas.klimavicius@vilnius.lt,,
Vilniaus rajono savivaldybė Avižienių seniūnija,Michail Bortkevič,avizieniuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Bezdonių seniūnija,Michal Jančevski,bezdoniuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Buivydžių seniūnija,Marjan Narunec,buivydziuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Dūkštų seniūnija,Vaclava Baniukevič,dukstuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Juodšilių seniūnija,Tadeuš Aškelianec,juodsiliuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Kalvelių seniūnija,Kristina Gerasimovič,kalveliuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Lavoriškių seniūnija,Jan Krasovskij,lavoriskiuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Maišiagalos seniūnija,Stefan Orševski,maisiagalosseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Marijampolio seniūnija,Andrej Žabelovič,marijampolioseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Medininkų seniūnija,Stanislav Boroško,medininkuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Mickūnų seniūnija,Renata Mickevič,mickunuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Nemenčinės miesto seniūnija,Mečislav Borusevič,miesto.seniunija@post.5ci.lt,,
Vilniaus rajono savivaldybė Nemenčinės seniūnija,Eduard Puncevič,nemencinesseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Nemėžio seniūnija,Vlodzimiež Sipovič,nemezioseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Paberžės seniūnija,Henrik Gerulskij,paberzesseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Pagirių seniūnija,Marija Matiulevič,pagiriuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Riešės seniūnija,Ana Kotvicka,riesesseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Rudaminos seniūnija,Tadeuš Kulakovski,rudaminosseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Rukainių seniūnija,Leonarda Sapkevič,rukainiuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Sudervės seniūnija,Česlava Stupenko,sudervesseniunija@gmail.com,,
Vilniaus rajono savivaldybė Sužionių seniūnija,Mečislav Černiavskij,suzioniuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Zujūnų seniūnija,Česlava Apolevič,zujunuseniunija@vilniaus-r.lt,,
Vilniaus rajono savivaldybė Šatrininkų seniūnija,Veslav Starikovič,satrininkuseniunija@vilniaus-r.lt,,
Zarasų rajono savivaldybė Antalieptės seniūnija,Arvidas Saulius,antaliepte@zarasai.lt,,
Zarasų rajono savivaldybė Antazavės seniūnija,Algirdas Lekaveckas,antazave@zarasai.lt,,
Zarasų rajono savivaldybė Degučių seniūnija,Jonas Šileikis,deguciai@zarasai.lt,,
Zarasų rajono savivaldybė Dusetų seniūnija,Saulius Kėblys,dusetos@zarasai.lt,,
Zarasų rajono savivaldybė Imbrado seniūnija,Vygirdas Žalkauskas,imbradas@zarasai.lt,,
Zarasų rajono savivaldybė Salako seniūnija,Renius Kisielius,salakas@zarasai.lt,,
Zarasų rajono savivaldybė Suvieko seniūnija,Gintautas Altanas,suviekas@zarasai.lt,,
Zarasų rajono savivaldybė Turmanto seniūnija,Stanislovas Stankevičius,turmantas@zarasai.lt,,
Zarasų rajono savivaldybė Zarasų miesto seniūnija,Nikolajus Gusevas,zarasu.m.sen@zarasai.lt,,
Zarasų rajono savivaldybė Zarasų seniūnija,Valdas Utka,zarasusen@zarasai.lt,,
Šakių rajono savivaldybė Barzdų seniūnija,Remigijus Naujokaitis,barzdu.seniunija@gmail.com,,
Šakių rajono savivaldybė Gelgaudiškio seniūnija,Vincas Dabravolskis,gelgaudiskioseniunija@gmail.com,,
Šakių rajono savivaldybė Griškabūdžio seniūnija,Saulius Naumavičius,Griskabudzioseniunija@takas.lt,,
Šakių rajono savivaldybė Kidulių seniūnija,Juozas Valaitis,sekretore@kiduliai.lt,,
Šakių rajono savivaldybė Kriūkų seniūnija,Ona Rakauskienė,kriukuseniunija@gmail.com,,
Šakių rajono savivaldybė Kudirkos Naumiesčio seniūnija,Vincas Alfredas Puida,naumiestis@gmail.com,,
Šakių rajono savivaldybė Lekėčių seniūnija,Valdas Tadas Laukaitis,lekeciusen@takas.lt,,
Šakių rajono savivaldybė Lukšių seniūnija,Vidas Cikana,luksiu_sen@centras.lt,,
Šakių rajono savivaldybė Plokščių seniūnija,Laimutė Miliūnienė,ploksciai@takas.lt,,
Šakių rajono savivaldybė Sintautų seniūnija,Kęstutis Birbilas,sintautusen@zebra.lt,,
Šakių rajono savivaldybė Slavikų seniūnija,Vidmantas Benediktas Sprainaitis,slaviku.seniunija@gmail.com,,
Šakių rajono savivaldybė Sudargo seniūnija,Rita Grigaitienė,sud.sen@erdves.lt,,
Šakių rajono savivaldybė Šakių seniūnija,Alfonsas Jakas,sakiai.seniunija@gmail.com,,
Šakių rajono savivaldybė Žvirgždaičių seniūnija,Algimantas Baubonis,zvirsen@takas.lt,,
Šalčininkų rajono savivaldybė Akmenynės seniūnija,Jan Miloševič,akmenyne@salcininkai.lt,,
Šalčininkų rajono savivaldybė Baltosios Vokės seniūnija,Genadij Baranovič,baranovic@takas.lt,,
Šalčininkų rajono savivaldybė Butrimonių seniūnija,Vanda Belskaja,butrimonys@salcininkai.lt,,
Šalčininkų rajono savivaldybė Dainavos seniūnija,Vaclav Jankelait,dainava@salcininkai.lt,,
Šalčininkų rajono savivaldybė Dieveniškių seniūnija,Česlava Marcinkevič,dieveniskes@salcininkai.lt,,
Šalčininkų rajono savivaldybė Eišiškių seniūnija,Tadeuš Ziminski,eisiskes@salcininkai.lt,,
Šalčininkų rajono savivaldybė Gerviškių seniūnija,Valerijus Ivaška,gerviskes@salcininkai.lt,,
Šalčininkų rajono savivaldybė Jašiūnų seniūnija,Sofija Griaznova,jasiunai@salcininkai.lt,,
Šalčininkų rajono savivaldybė Kalesninkų seniūnija,Danuta Vilbik,kalesninkai@salcininkai,,
Šalčininkų rajono savivaldybė Pabarės seniūnija,Tadeuš Minakovskij,pabare@salcininkai.lt,,
Šalčininkų rajono savivaldybė Poškonių seniūnija,Rimantas Stočkus,poskonys@salcininkai.lt,,
Šalčininkų rajono savivaldybė Turgelių seniūnija,Voicech Jurgelevič,turgeliai@salcininkai.lt,,
Šiaulių miesto savivaldybė Medelyno seniūnija,Vaclovas Kardašius,medelynas@siauliai.lt,,
Šiaulių miesto savivaldybė Rėkyvos seniūnija,Vaida Čelkienė,rekyva@siauliai.lt,,
Šiaulių rajono savivaldybė Bubių seniūnija,Vytautas Slabys,-,,
Šiaulių rajono savivaldybė Ginkūnų seniūnija,Vilija Kvasienė,ginkunai@siauliai-r.sav.lt,,
Šiaulių rajono savivaldybė Gruzdžių seniūnija,Nijolė Bagdonavičienė,gruzdziai@siauliai-r.sav.lt,,
Šiaulių rajono savivaldybė Kairių seniūnija,Artūras Šulčius,kairiai@siauliai-r.sav.lt,,
Šiaulių rajono savivaldybė Kuršėnų kaimiškoji seniūnija,Edita Mileikienė,,,
Šiaulių rajono savivaldybė Kuršėnų miesto seniūnija,Vytautas Gedmontas,kursenai@siauliai-r.sav.lt,,
Šiaulių rajono savivaldybė Kužių seniūnija,Jolanda Rudavičienė,kuziai@siauliai-r.sav.lt.,,
Šiaulių rajono savivaldybė Meškuičių seniūnija,Jolanta Baškienė,-,,
Šiaulių rajono savivaldybė Raudėnų seniūnija,Antanas Venckus,-,,
Šiaulių rajono savivaldybė Šakynos seniūnija,Algimantas Bronislovas Rudis,sakyna@siauliai-r.sav.lt,,
Šiaulių rajono savivaldybė Šiaulių kaimiškoji seniūnija,Jonas Obrikas,-,,
Šilalės rajono savivaldybė Bijotų seniūnija,Steponas Jasaitis,steponas.jasaitis@silale.lt,,
Šilalės rajono savivaldybė Bilionių seniūnija,Loreta Daukantienė,loreta.daukantiene@silale.lt,,
Šilalės rajono savivaldybė Didkiemio seniūnija,Gintaras Kasnauskas,gintaras.kasnauskas@silale.lt,,
Šilalės rajono savivaldybė Kaltinėnų seniūnija,Albina Bataitienė,albina.bataitiene@silale.lt,,
